trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch
103,0.00004,0.35,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
104,0.00004,0.35,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
105,0.00008,0.35,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
106,0.00008,0.35,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
107,0.00008,0.35,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
108,0.00016,0.35,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
109,0.00016,0.35,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
110,0.00016,0.35,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
111,0.00032,0.35,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
112,0.00032,0.35,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
113,0.00032,0.35,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
114,0.00004,0.5,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
115,0.00004,0.5,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
116,0.00004,0.5,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
117,0.00008,0.5,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
118,0.00008,0.5,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
119,0.00008,0.5,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
120,0.00016,0.5,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
121,0.00016,0.5,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
122,0.00016,0.5,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
123,0.00032,0.5,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
124,0.00032,0.5,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
125,0.00032,0.5,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
126,0.00004,0.65,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
127,0.00004,0.65,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
128,0.00004,0.65,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
129,0.00008,0.65,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
130,0.00008,0.65,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
131,0.00008,0.65,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
132,0.00016,0.65,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
133,0.00016,0.65,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
134,0.00016,0.65,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
